Titular,Enlace,Fecha_Captura
Sánchez reivindica a Zapatero y Feijóo le urge a dimitir por la corrupción,https://www.lavanguardia.com/politica/20260520/11542886/sanchez-reivindica-zapatero-feijoo-le-urge-dimitir-corrupcion-que-todavia.html,2026-05-20 11:38:19
Rufián denuncia en el Congreso una “cacería judicial” contra Zapatero,https://www.lavanguardia.com/politica/20260520/11542572/jose-luis-rodriguez-zapatero-imputado-blanqueo-capitales-plus-ultra-audiencia-nacional-udef-ultima-hora-hoy-en-directo.html,2026-05-20 11:38:19
La ley para regular los lobbies sigue atascada tras años de intentos fallidos,https://www.lavanguardia.com/politica/20260520/11542963/ley-regular-lobbies-sigue-atascada-congreso-anos-intentos-fallidos.html,2026-05-20 11:38:19
"Reconstrucción de la gestión de Zapatero para lograr el rescate de Plus Ultra, mensaje a mensaje",https://www.lavanguardia.com/politica/20260520/11542578/mensajes-ee-uu-reconstruyen-plus-ultra-busco-ayudas-cambio-pagos.html,2026-05-20 11:38:19
Presunción de culpabilidad,https://www.lavanguardia.com/opinion/20260520/11542547/presuncion-culpabilidad.html,2026-05-20 11:38:19
El fondo público que rescató a Plus Ultra: un gran salvavidas con alguna sombra,https://www.lavanguardia.com/economia/20260520/11542960/fondo-publico-rescato-plus-ultra-gran-flotador-tiburones-acecho.html,2026-05-20 11:38:19
"La pisada “forzada” de Isak Andic antes de caer al vacío, indicio en la investigación",https://www.lavanguardia.com/economia/20260520/11542872/isak-andic-jonathan-andic-pisada-homicidio-accidente-muerte.html,2026-05-20 11:38:19
Jonathan Andic mantiene por ahora sus cargos en Mango y la sociedad familiar,https://www.lavanguardia.com/dinero/20260520/11542500/jonathan-andic-mantiene-cargos-mango-sociedad-familiar.html,2026-05-20 11:38:19
"Todos los indicios contra Jonathan Andic:  el “odio” al padre, el cambio de testamento...",https://www.lavanguardia.com/sucesos/20260519/11542532/lesiones-descartan-resbalon-tropiezo-obsesion-jonathan-dinero-odio-padre.html,2026-05-20 11:38:19
Qué mal sabor de boca...,https://www.lavanguardia.com/opinion/20260520/11542180/que-mal-sabor-boca.html,2026-05-20 11:38:19
La OTAN se prepara para que EE.UU. reduzca todavía más su presencia militar en Europa,https://www.lavanguardia.com/internacional/20260520/11543027/otan-prepara-ee-uu-reduzca-todavia-mas-presencia-militar-europa.html,2026-05-20 11:38:19
Xi pide junto a Putin “un cese inmediato de todas las hostilidades en Oriente Medio”,https://www.lavanguardia.com/internacional/20260520/11542791/xi-pide-putin-cese-inmediato-todas-hostilidades-oriente-medio.html,2026-05-20 11:38:19
Conflicto de interés: cómo Trump influye en el precio de las acciones que él mismo posee,https://www.lavanguardia.com/economia/20260520/11542371/conflicto-interes-como-trump-influye-precio-acciones-posee.html,2026-05-20 11:38:19
Giulano da Empoli: “Tuvimos la oportunidad de regular la IA y no lo hicimos; pasarán cosas malas”,https://www.lavanguardia.com/vida/20260520/11542539/tuvimos-oportunidad-regular-ia-hicimos-pasaran-cosas-malas.html,2026-05-20 11:38:19
Illa evita mojarse sobre el conflicto educativo y sitúa el pacto de presupuestos como “punto de partida”,https://www.lavanguardia.com/politica/20260520/11542920/illa-evita-mojarse-sobre-conflicto-educativo-situa-pacto-presupuestos-punto-partida.html,2026-05-20 11:38:19
"La epidemia de ébola pudo empezar hace dos meses, advierte la OMS",https://www.lavanguardia.com/ciencia/20260520/11543135/epidemia-ebola-pudo-empezar-dos-meses-advierte-oms.html,2026-05-20 11:38:19
Desahuciada una madre y sus tres hijos de un bloque propiedad de un fondo de inversión en Barcelona,https://www.lavanguardia.com/local/barcelona/20260520/11542991/desahucian-madre-tres-hijos-bloque-propiedad-fondo-inversion-barcelona.html,2026-05-20 11:38:19
El Barcelona firma un acuerdo de patrocinio con Emirates Islamic hasta el 2028,https://www.lavanguardia.com/deportes/fc-barcelona/20260520/11543049/barcelona-firma-acuerdo-patrocinio-emirates-islamic-2028.html,2026-05-20 11:38:19
Riquelme duda pero quiere retar a un Florentino poco democrático,https://www.lavanguardia.com/deportes/real-madrid/20260520/11543113/riquelme-duda-quiere-retar-florentino-poco-democratico-hay-obligacion-moral-etica-dar-paso.html,2026-05-20 11:38:19
Hasta 40 céntimos menos por litro: así puedes ahorrar en gasolina este mes,https://www.lavanguardia.com/vida/20260514/11538479/40-centimos-litro-asi-puedes-ahorrar-gasolina-mes.html,2026-05-20 11:38:19
"Adiós discotecas, hola 'listening bars', el fenómeno que triunfa en el mundo (y en España)",https://www.lavanguardia.com/magazine/viajes/20260520/11541058/adios-discotecas-hola-listening-bars-fenomeno-triunfa-mundo-espana.html,2026-05-20 11:38:19
La Bóveda Global de Semillas de Svalbard gana el Princesa de Asturias de Cooperación,https://www.lavanguardia.com/natural/20260520/11543018/banco-mundial-semillas-svalbard-gana-princesa-asturias-cooperacion.html,2026-05-20 11:38:19
Así es como surfistas acuden al arroyo Eisbach para coger olas,https://www.lavanguardia.com/deportes/20260520/11542554/vdd-surfistas-alemania-munich-eisbach-olas-surf.html,2026-05-20 11:38:19
Cuánto tarda una grúa en 2026 y cómo seguir su llegada en tiempo real,https://www.lavanguardia.com/dinero/20260520/11540955/tarda-grua-2026-como-seguir-llegada-real-brl.html,2026-05-20 11:38:19
El liguero de Rosalía,https://www.lavanguardia.com/cultura/20260520/11542398/liguero-rosalia-valie-export-tatuaje.html,2026-05-20 11:38:19
Una de las primeras ciudades del mundo prosperó cuando redujo la desigualdad económica,https://www.lavanguardia.com/cultura/20260520/11543026/primeras-ciudades-mundo-mohenjo-daro-desafia-teorias-prospero-medida-reducia-desigualdad-economica-habitantes.html,2026-05-20 11:38:19
Adiós al buscador de Google tal y como lo conocíamos: la IA impulsa su mayor transformación,https://www.lavanguardia.com/neo/ia/20260520/11542825/adios-buscador-google-conociamos-ia-impulsa-mayor-transformacion-25-anos-epm.html,2026-05-20 11:38:19
